age,year,suicides_no
15-24 years,1985,17870
15-24 years,1986,18063
15-24 years,1987,16432
15-24 years,1988,15337
15-24 years,1989,18636
15-24 years,1990,23248
15-24 years,1991,23317
15-24 years,1992,24727
15-24 years,1993,25262
15-24 years,1994,27296
15-24 years,1995,29461
15-24 years,1996,30365
15-24 years,1997,30157
15-24 years,1998,30817
15-24 years,1999,31582
15-24 years,2000,31742
15-24 years,2001,30806
15-24 years,2002,31087
15-24 years,2003,30558
15-24 years,2004,28702
15-24 years,2005,27624
15-24 years,2006,27937
15-24 years,2007,27670
15-24 years,2008,28145
15-24 years,2009,28487
15-24 years,2010,27684
15-24 years,2011,27937
15-24 years,2012,26280
15-24 years,2013,24249
15-24 years,2014,24028
15-24 years,2015,21841
15-24 years,2016,1195
25-34 years,1985,20771
25-34 years,1986,21685
25-34 years,1987,22309
25-34 years,1988,21332
25-34 years,1989,29427
25-34 years,1990,35276
25-34 years,1991,35615
25-34 years,1992,37758
25-34 years,1993,39044
25-34 years,1994,40946
25-34 years,1995,42371
25-34 years,1996,42593
25-34 years,1997,41158
25-34 years,1998,41706
25-34 years,1999,41968
25-34 years,2000,41605
25-34 years,2001,40279
25-34 years,2002,41536
25-34 years,2003,41053
25-34 years,2004,38221
25-34 years,2005,37442
25-34 years,2006,37221
25-34 years,2007,37936
25-34 years,2008,37756
25-34 years,2009,39389
25-34 years,2010,38317
25-34 years,2011,37936
25-34 years,2012,36625
25-34 years,2013,35068
25-34 years,2014,35381
25-34 years,2015,32118
25-34 years,2016,2070
35-54 years,1985,35748
35-54 years,1986,37558
35-54 years,1987,40649
35-54 years,1988,38770
35-54 years,1989,53541
35-54 years,1990,65242
35-54 years,1991,68374
35-54 years,1992,75051
35-54 years,1993,80670
35-54 years,1994,84986
35-54 years,1995,89752
35-54 years,1996,91280
35-54 years,1997,88012
35-54 years,1998,91627
35-54 years,1999,96223
35-54 years,2000,97814
35-54 years,2001,96998
35-54 years,2002,98675
35-54 years,2003,98693
35-54 years,2004,92531
35-54 years,2005,88498
35-54 years,2006,87032
35-54 years,2007,85749
35-54 years,2008,86664
35-54 years,2009,90390
35-54 years,2010,87364
35-54 years,2011,85345
35-54 years,2012,82482
35-54 years,2013,80227
35-54 years,2014,79132
35-54 years,2015,71298
35-54 years,2016,5766
5-14 years,1985,984
5-14 years,1986,944
5-14 years,1987,935
5-14 years,1988,837
5-14 years,1989,1150
5-14 years,1990,1477
5-14 years,1991,1533
5-14 years,1992,1687
5-14 years,1993,1789
5-14 years,1994,1760
5-14 years,1995,1921
5-14 years,1996,1865
5-14 years,1997,1880
5-14 years,1998,2082
5-14 years,1999,2049
5-14 years,2000,2065
5-14 years,2001,2095
5-14 years,2002,2064
5-14 years,2003,1873
5-14 years,2004,1839
5-14 years,2005,1774
5-14 years,2006,1755
5-14 years,2007,1671
5-14 years,2008,1640
5-14 years,2009,1835
5-14 years,2010,1760
5-14 years,2011,1879
5-14 years,2012,1752
5-14 years,2013,1806
5-14 years,2014,1882
5-14 years,2015,1681
55-74 years,1985,28736
55-74 years,1986,29760
55-74 years,1987,32469
55-74 years,1988,30538
55-74 years,1989,40087
55-74 years,1990,47018
55-74 years,1991,48315
55-74 years,1992,51506
55-74 years,1993,54278
55-74 years,1994,56576
55-74 years,1995,59138
55-74 years,1996,59979
55-74 years,1997,58672
55-74 years,1998,61642
55-74 years,1999,62664
55-74 years,2000,60973
55-74 years,2001,59037
55-74 years,2002,60324
55-74 years,2003,60929
55-74 years,2004,57103
55-74 years,2005,56581
55-74 years,2006,56613
55-74 years,2007,56857
55-74 years,2008,57687
55-74 years,2009,59902
55-74 years,2010,59743
55-74 years,2011,59178
55-74 years,2012,58443
55-74 years,2013,57696
55-74 years,2014,57696
55-74 years,2015,53588
55-74 years,2016,4715
75+ years,1985,11954
75+ years,1986,12660
75+ years,1987,14048
75+ years,1988,14212
75+ years,1989,17403
75+ years,1990,21100
75+ years,1991,20866
75+ years,1992,20744
75+ years,1993,20522
75+ years,1994,20499
75+ years,1995,20901
75+ years,1996,20643
75+ years,1997,20866
75+ years,1998,21717
75+ years,1999,21633
75+ years,2000,21633
75+ years,2001,21437
75+ years,2002,22409
75+ years,2003,22973
75+ years,2004,22465
75+ years,2005,22456
75+ years,2006,22803
75+ years,2007,23525
75+ years,2008,23555
75+ years,2009,23484
75+ years,2010,23834
75+ years,2011,24209
75+ years,2012,24578
75+ years,2013,24153
75+ years,2014,24865
75+ years,2015,23114
75+ years,2016,1857
