country,age,year,suicides_no
Albania,15-24 years,1987,35
Albania,15-24 years,1988,25
Albania,15-24 years,1989,17
Albania,15-24 years,1992,16
Albania,15-24 years,1993,28
Albania,15-24 years,1994,12
Albania,15-24 years,1995,24
Albania,15-24 years,1996,33
Albania,15-24 years,1997,54
Albania,15-24 years,1998,59
Albania,15-24 years,1999,43
Albania,15-24 years,2000,11
Albania,15-24 years,2001,19
Albania,15-24 years,2002,29
Albania,15-24 years,2003,29
Albania,15-24 years,2004,39
Albania,15-24 years,2005,0
Albania,15-24 years,2006,0
Albania,15-24 years,2007,26
Albania,15-24 years,2008,31
Albania,15-24 years,2009,0
Albania,15-24 years,2010,16
Albania,25-34 years,1987,13
Albania,25-34 years,1988,10
Albania,25-34 years,1989,20
Albania,25-34 years,1992,11
Albania,25-34 years,1993,16
Albania,25-34 years,1994,10
Albania,25-34 years,1995,20
Albania,25-34 years,1996,24
Albania,25-34 years,1997,52
Albania,25-34 years,1998,36
Albania,25-34 years,1999,32
Albania,25-34 years,2000,20
Albania,25-34 years,2001,26
Albania,25-34 years,2002,30
Albania,25-34 years,2003,18
Albania,25-34 years,2004,27
Albania,25-34 years,2005,0
Albania,25-34 years,2006,0
Albania,25-34 years,2007,17
Albania,25-34 years,2008,30
Albania,25-34 years,2009,0
Albania,25-34 years,2010,15
Albania,35-54 years,1987,22
Albania,35-54 years,1988,18
Albania,35-54 years,1989,22
Albania,35-54 years,1992,14
Albania,35-54 years,1993,17
Albania,35-54 years,1994,11
Albania,35-54 years,1995,22
Albania,35-54 years,1996,21
Albania,35-54 years,1997,37
Albania,35-54 years,1998,38
Albania,35-54 years,1999,36
Albania,35-54 years,2000,9
Albania,35-54 years,2001,46
Albania,35-54 years,2002,50
Albania,35-54 years,2003,41
Albania,35-54 years,2004,56
Albania,35-54 years,2005,0
Albania,35-54 years,2006,0
Albania,35-54 years,2007,43
Albania,35-54 years,2008,56
Albania,35-54 years,2009,0
Albania,35-54 years,2010,32
Albania,5-14 years,1987,0
Albania,5-14 years,1988,0
Albania,5-14 years,1989,0
Albania,5-14 years,1992,0
Albania,5-14 years,1993,2
Albania,5-14 years,1994,1
Albania,5-14 years,1995,8
Albania,5-14 years,1996,3
Albania,5-14 years,1997,10
Albania,5-14 years,1998,3
Albania,5-14 years,1999,1
Albania,5-14 years,2000,1
Albania,5-14 years,2001,8
Albania,5-14 years,2002,2
Albania,5-14 years,2003,4
Albania,5-14 years,2004,4
Albania,5-14 years,2005,0
Albania,5-14 years,2006,0
Albania,5-14 years,2007,4
Albania,5-14 years,2008,8
Albania,5-14 years,2009,0
Albania,5-14 years,2010,2
Albania,55-74 years,1987,1
Albania,55-74 years,1988,7
Albania,55-74 years,1989,7
Albania,55-74 years,1992,6
Albania,55-74 years,1993,9
Albania,55-74 years,1994,12
Albania,55-74 years,1995,11
Albania,55-74 years,1996,4
Albania,55-74 years,1997,12
Albania,55-74 years,1998,15
Albania,55-74 years,1999,20
Albania,55-74 years,2000,10
Albania,55-74 years,2001,17
Albania,55-74 years,2002,17
Albania,55-74 years,2003,25
Albania,55-74 years,2004,13
Albania,55-74 years,2005,0
Albania,55-74 years,2006,0
Albania,55-74 years,2007,23
Albania,55-74 years,2008,28
Albania,55-74 years,2009,0
Albania,55-74 years,2010,27
Albania,75+ years,1987,2
Albania,75+ years,1988,3
Albania,75+ years,1989,2
Albania,75+ years,1992,0
Albania,75+ years,1993,1
Albania,75+ years,1994,4
Albania,75+ years,1995,3
Albania,75+ years,1996,4
Albania,75+ years,1997,5
Albania,75+ years,1998,3
Albania,75+ years,1999,7
Albania,75+ years,2000,3
Albania,75+ years,2001,3
Albania,75+ years,2002,5
Albania,75+ years,2003,7
Albania,75+ years,2004,7
Albania,75+ years,2005,0
Albania,75+ years,2006,0
Albania,75+ years,2007,11
Albania,75+ years,2008,7
Albania,75+ years,2009,0
Albania,75+ years,2010,4
Antigua and Barbuda,15-24 years,1985,0
Antigua and Barbuda,15-24 years,1986,0
Antigua and Barbuda,15-24 years,1987,0
Antigua and Barbuda,15-24 years,1988,0
Antigua and Barbuda,15-24 years,1989,0
Antigua and Barbuda,15-24 years,1990,0
Antigua and Barbuda,15-24 years,1991,0
Antigua and Barbuda,15-24 years,1992,0
Antigua and Barbuda,15-24 years,1993,0
Antigua and Barbuda,15-24 years,1994,0
Antigua and Barbuda,15-24 years,1995,0
Antigua and Barbuda,15-24 years,1998,0
Antigua and Barbuda,15-24 years,1999,0
Antigua and Barbuda,15-24 years,2000,0
Antigua and Barbuda,15-24 years,2001,0
Antigua and Barbuda,15-24 years,2002,0
Antigua and Barbuda,15-24 years,2003,0
Antigua and Barbuda,15-24 years,2004,0
Antigua and Barbuda,15-24 years,2005,0
Antigua and Barbuda,15-24 years,2006,0
Antigua and Barbuda,15-24 years,2007,0
Antigua and Barbuda,15-24 years,2008,0
Antigua and Barbuda,15-24 years,2009,0
Antigua and Barbuda,15-24 years,2012,0
Antigua and Barbuda,15-24 years,2013,0
Antigua and Barbuda,15-24 years,2014,0
Antigua and Barbuda,15-24 years,2015,0
Antigua and Barbuda,25-34 years,1985,0
Antigua and Barbuda,25-34 years,1986,0
Antigua and Barbuda,25-34 years,1987,0
Antigua and Barbuda,25-34 years,1988,0
Antigua and Barbuda,25-34 years,1989,0
Antigua and Barbuda,25-34 years,1990,0
Antigua and Barbuda,25-34 years,1991,0
Antigua and Barbuda,25-34 years,1992,0
Antigua and Barbuda,25-34 years,1993,1
Antigua and Barbuda,25-34 years,1994,0
Antigua and Barbuda,25-34 years,1995,0
Antigua and Barbuda,25-34 years,1998,0
Antigua and Barbuda,25-34 years,1999,0
Antigua and Barbuda,25-34 years,2000,0
Antigua and Barbuda,25-34 years,2001,0
Antigua and Barbuda,25-34 years,2002,0
Antigua and Barbuda,25-34 years,2003,0
Antigua and Barbuda,25-34 years,2004,0
Antigua and Barbuda,25-34 years,2005,0
Antigua and Barbuda,25-34 years,2006,0
Antigua and Barbuda,25-34 years,2007,0
Antigua and Barbuda,25-34 years,2008,0
Antigua and Barbuda,25-34 years,2009,0
Antigua and Barbuda,25-34 years,2012,0
Antigua and Barbuda,25-34 years,2013,0
Antigua and Barbuda,25-34 years,2014,0
Antigua and Barbuda,25-34 years,2015,0
Antigua and Barbuda,35-54 years,1985,0
Antigua and Barbuda,35-54 years,1986,0
Antigua and Barbuda,35-54 years,1987,0
Antigua and Barbuda,35-54 years,1988,0
Antigua and Barbuda,35-54 years,1989,0
Antigua and Barbuda,35-54 years,1990,1
Antigua and Barbuda,35-54 years,1991,0
Antigua and Barbuda,35-54 years,1992,0
Antigua and Barbuda,35-54 years,1993,0
Antigua and Barbuda,35-54 years,1994,0
Antigua and Barbuda,35-54 years,1995,0
Antigua and Barbuda,35-54 years,1998,0
Antigua and Barbuda,35-54 years,1999,0
Antigua and Barbuda,35-54 years,2000,1
Antigua and Barbuda,35-54 years,2001,2
Antigua and Barbuda,35-54 years,2002,0
Antigua and Barbuda,35-54 years,2003,0
Antigua and Barbuda,35-54 years,2004,1
Antigua and Barbuda,35-54 years,2005,0
Antigua and Barbuda,35-54 years,2006,0
Antigua and Barbuda,35-54 years,2007,1
Antigua and Barbuda,35-54 years,2008,0
Antigua and Barbuda,35-54 years,2009,0
Antigua and Barbuda,35-54 years,2012,0
Antigua and Barbuda,35-54 years,2013,0
Antigua and Barbuda,35-54 years,2014,0
Antigua and Barbuda,35-54 years,2015,0
Antigua and Barbuda,5-14 years,1985,0
Antigua and Barbuda,5-14 years,1986,0
Antigua and Barbuda,5-14 years,1987,0
Antigua and Barbuda,5-14 years,1988,0
Antigua and Barbuda,5-14 years,1989,0
Antigua and Barbuda,5-14 years,1990,0
Antigua and Barbuda,5-14 years,1991,0
Antigua and Barbuda,5-14 years,1992,0
Antigua and Barbuda,5-14 years,1993,0
Antigua and Barbuda,5-14 years,1994,0
Antigua and Barbuda,5-14 years,1995,0
Antigua and Barbuda,5-14 years,1998,0
Antigua and Barbuda,5-14 years,1999,0
Antigua and Barbuda,5-14 years,2000,0
Antigua and Barbuda,5-14 years,2001,0
Antigua and Barbuda,5-14 years,2002,0
Antigua and Barbuda,5-14 years,2003,0
Antigua and Barbuda,5-14 years,2004,0
Antigua and Barbuda,5-14 years,2005,0
Antigua and Barbuda,5-14 years,2006,0
Antigua and Barbuda,5-14 years,2007,0
Antigua and Barbuda,5-14 years,2008,0
Antigua and Barbuda,5-14 years,2009,0
Antigua and Barbuda,5-14 years,2012,0
Antigua and Barbuda,5-14 years,2013,0
Antigua and Barbuda,5-14 years,2014,0
Antigua and Barbuda,5-14 years,2015,0
Antigua and Barbuda,55-74 years,1985,0
Antigua and Barbuda,55-74 years,1986,0
Antigua and Barbuda,55-74 years,1987,0
Antigua and Barbuda,55-74 years,1988,0
Antigua and Barbuda,55-74 years,1989,0
Antigua and Barbuda,55-74 years,1990,0
Antigua and Barbuda,55-74 years,1991,0
Antigua and Barbuda,55-74 years,1992,0
Antigua and Barbuda,55-74 years,1993,0
Antigua and Barbuda,55-74 years,1994,0
Antigua and Barbuda,55-74 years,1995,0
Antigua and Barbuda,55-74 years,1998,0
Antigua and Barbuda,55-74 years,1999,0
Antigua and Barbuda,55-74 years,2000,1
Antigua and Barbuda,55-74 years,2001,0
Antigua and Barbuda,55-74 years,2002,0
Antigua and Barbuda,55-74 years,2003,1
Antigua and Barbuda,55-74 years,2004,1
Antigua and Barbuda,55-74 years,2005,0
Antigua and Barbuda,55-74 years,2006,0
Antigua and Barbuda,55-74 years,2007,0
Antigua and Barbuda,55-74 years,2008,0
Antigua and Barbuda,55-74 years,2009,0
Antigua and Barbuda,55-74 years,2012,0
Antigua and Barbuda,55-74 years,2013,0
Antigua and Barbuda,55-74 years,2014,0
Antigua and Barbuda,55-74 years,2015,1
Antigua and Barbuda,75+ years,1985,0
Antigua and Barbuda,75+ years,1986,0
Antigua and Barbuda,75+ years,1987,0
Antigua and Barbuda,75+ years,1988,0
Antigua and Barbuda,75+ years,1989,0
Antigua and Barbuda,75+ years,1990,0
Antigua and Barbuda,75+ years,1991,0
Antigua and Barbuda,75+ years,1992,0
Antigua and Barbuda,75+ years,1993,0
Antigua and Barbuda,75+ years,1994,0
Antigua and Barbuda,75+ years,1995,0
Antigua and Barbuda,75+ years,1998,0
Antigua and Barbuda,75+ years,1999,0
Antigua and Barbuda,75+ years,2000,0
Antigua and Barbuda,75+ years,2001,0
Antigua and Barbuda,75+ years,2002,0
Antigua and Barbuda,75+ years,2003,0
Antigua and Barbuda,75+ years,2004,0
