country,generation,year,suicides_no
Albania,Boomers,1987,13
Albania,Boomers,1988,10
Albania,Boomers,1989,20
Albania,Boomers,1992,25
Albania,Boomers,1993,33
Albania,Boomers,1994,21
Albania,Boomers,1995,22
Albania,Boomers,1996,21
Albania,Boomers,1997,37
Albania,Boomers,1998,38
Albania,Boomers,1999,36
Albania,Boomers,2000,9
Albania,Boomers,2001,46
Albania,Boomers,2002,50
Albania,Boomers,2003,41
Albania,Boomers,2004,56
Albania,Boomers,2005,0
Albania,Boomers,2006,0
Albania,Boomers,2007,43
Albania,Boomers,2008,56
Albania,Boomers,2009,0
Albania,G.I. Generation,1987,3
Albania,G.I. Generation,1988,10
Albania,G.I. Generation,1989,9
Albania,G.I. Generation,1992,0
Albania,G.I. Generation,1993,1
Albania,G.I. Generation,1994,4
Albania,G.I. Generation,1995,3
Albania,G.I. Generation,1996,4
Albania,G.I. Generation,1997,5
Albania,G.I. Generation,1998,3
Albania,G.I. Generation,1999,7
Albania,G.I. Generation,2000,3
Albania,Generation X,1987,35
Albania,Generation X,1988,25
Albania,Generation X,1989,17
Albania,Generation X,1992,16
Albania,Generation X,1993,28
Albania,Generation X,1994,12
Albania,Generation X,1995,44
Albania,Generation X,1996,57
Albania,Generation X,1997,106
Albania,Generation X,1998,95
Albania,Generation X,1999,75
Albania,Generation X,2000,31
Albania,Generation X,2001,26
Albania,Generation X,2002,30
Albania,Generation X,2003,18
Albania,Generation X,2004,27
Albania,Generation X,2005,0
Albania,Generation X,2006,0
Albania,Generation X,2007,17
Albania,Generation X,2008,30
Albania,Generation X,2009,0
Albania,Generation X,2010,47
Albania,Generation Z,2007,4
Albania,Generation Z,2008,8
Albania,Generation Z,2009,0
Albania,Generation Z,2010,2
Albania,Millenials,1992,0
Albania,Millenials,1993,2
Albania,Millenials,1994,1
Albania,Millenials,1995,8
Albania,Millenials,1996,3
Albania,Millenials,1997,10
Albania,Millenials,1998,3
Albania,Millenials,1999,1
Albania,Millenials,2000,1
Albania,Millenials,2001,27
Albania,Millenials,2002,31
Albania,Millenials,2003,33
Albania,Millenials,2004,43
Albania,Millenials,2005,0
Albania,Millenials,2006,0
Albania,Millenials,2007,26
Albania,Millenials,2008,31
Albania,Millenials,2009,0
Albania,Millenials,2010,16
Albania,Silent,1987,22
Albania,Silent,1988,18
Albania,Silent,1989,22
Albania,Silent,1992,6
Albania,Silent,1993,9
Albania,Silent,1994,12
Albania,Silent,1995,11
Albania,Silent,1996,4
Albania,Silent,1997,12
Albania,Silent,1998,15
Albania,Silent,1999,20
Albania,Silent,2000,10
Albania,Silent,2001,20
Albania,Silent,2002,22
Albania,Silent,2003,32
Albania,Silent,2004,20
Albania,Silent,2005,0
Albania,Silent,2006,0
Albania,Silent,2007,34
Albania,Silent,2008,35
Albania,Silent,2009,0
Albania,Silent,2010,31
Antigua and Barbuda,Boomers,1985,0
Antigua and Barbuda,Boomers,1986,0
Antigua and Barbuda,Boomers,1987,0
Antigua and Barbuda,Boomers,1988,0
Antigua and Barbuda,Boomers,1989,0
Antigua and Barbuda,Boomers,1990,0
Antigua and Barbuda,Boomers,1991,0
Antigua and Barbuda,Boomers,1992,0
Antigua and Barbuda,Boomers,1993,1
Antigua and Barbuda,Boomers,1994,0
Antigua and Barbuda,Boomers,1995,0
Antigua and Barbuda,Boomers,1998,0
Antigua and Barbuda,Boomers,1999,0
Antigua and Barbuda,Boomers,2000,1
Antigua and Barbuda,Boomers,2001,2
Antigua and Barbuda,Boomers,2002,0
Antigua and Barbuda,Boomers,2003,0
Antigua and Barbuda,Boomers,2004,1
Antigua and Barbuda,Boomers,2005,0
Antigua and Barbuda,Boomers,2006,0
Antigua and Barbuda,Boomers,2007,1
Antigua and Barbuda,Boomers,2008,0
Antigua and Barbuda,Boomers,2009,0
Antigua and Barbuda,Boomers,2012,0
Antigua and Barbuda,Boomers,2013,0
Antigua and Barbuda,Boomers,2014,0
Antigua and Barbuda,Boomers,2015,1
Antigua and Barbuda,G.I. Generation,1985,0
Antigua and Barbuda,G.I. Generation,1986,0
Antigua and Barbuda,G.I. Generation,1987,0
Antigua and Barbuda,G.I. Generation,1988,0
Antigua and Barbuda,G.I. Generation,1989,0
Antigua and Barbuda,G.I. Generation,1990,0
Antigua and Barbuda,G.I. Generation,1991,0
Antigua and Barbuda,G.I. Generation,1992,0
Antigua and Barbuda,G.I. Generation,1993,0
