generation,year,suicides_no
Boomers,1985,20771
Boomers,1986,21685
Boomers,1987,22309
Boomers,1988,21332
Boomers,1989,29427
Boomers,1990,35276
Boomers,1991,103989
Boomers,1992,112809
Boomers,1993,119714
Boomers,1994,125932
Boomers,1995,89752
Boomers,1996,91280
Boomers,1997,88012
Boomers,1998,91627
Boomers,1999,96223
Boomers,2000,97814
Boomers,2001,96998
Boomers,2002,98675
Boomers,2003,98693
Boomers,2004,92531
Boomers,2005,88498
Boomers,2006,87032
Boomers,2007,85749
Boomers,2008,86664
Boomers,2009,90390
Boomers,2011,59178
Boomers,2012,58443
Boomers,2013,57696
Boomers,2014,57696
Boomers,2015,53588
Boomers,2016,4715
G.I. Generation,1985,40690
G.I. Generation,1986,42420
G.I. Generation,1987,46517
G.I. Generation,1988,44750
G.I. Generation,1989,57490
G.I. Generation,1990,68118
G.I. Generation,1991,20866
G.I. Generation,1992,20744
G.I. Generation,1993,20522
G.I. Generation,1994,20499
G.I. Generation,1995,20901
G.I. Generation,1996,20643
G.I. Generation,1997,20866
G.I. Generation,1998,21717
G.I. Generation,1999,21633
G.I. Generation,2000,21633
Generation X,1985,18854
Generation X,1986,19007
Generation X,1987,17367
Generation X,1988,16174
Generation X,1989,19786
Generation X,1990,24725
Generation X,1991,23317
Generation X,1992,24727
Generation X,1993,25262
Generation X,1994,27296
Generation X,1995,71832
Generation X,1996,72958
Generation X,1997,71315
Generation X,1998,72523
Generation X,1999,73550
Generation X,2000,73347
Generation X,2001,40279
Generation X,2002,41536
Generation X,2003,41053
Generation X,2004,38221
Generation X,2005,37442
Generation X,2006,37221
Generation X,2007,37936
Generation X,2008,37756
Generation X,2009,39389
Generation X,2010,125681
Generation X,2011,85345
Generation X,2012,82482
Generation X,2013,80227
Generation X,2014,79132
Generation X,2015,71298
Generation X,2016,5766
Generation Z,2007,1671
Generation Z,2008,1640
Generation Z,2009,1835
Generation Z,2010,1760
Generation Z,2011,1879
Generation Z,2012,1752
Generation Z,2013,1806
Generation Z,2014,1882
Generation Z,2015,1681
Millenials,1991,1533
Millenials,1992,1687
Millenials,1993,1789
Millenials,1994,1760
Millenials,1995,1921
Millenials,1996,1865
Millenials,1997,1880
Millenials,1998,2082
Millenials,1999,2049
Millenials,2000,2065
Millenials,2001,32901
Millenials,2002,33151
Millenials,2003,32431
Millenials,2004,30541
Millenials,2005,29398
Millenials,2006,29692
Millenials,2007,27670
Millenials,2008,28145
Millenials,2009,28487
Millenials,2010,27684
Millenials,2011,65873
Millenials,2012,62905
Millenials,2013,59317
Millenials,2014,59409
Millenials,2015,53959
Millenials,2016,3265
Silent,1985,35748
Silent,1986,37558
Silent,1987,40649
Silent,1988,38770
Silent,1989,53541
Silent,1990,65242
Silent,1991,48315
Silent,1992,51506
Silent,1993,54278
Silent,1994,56576
Silent,1995,59138
Silent,1996,59979
Silent,1997,58672
Silent,1998,61642
Silent,1999,62664
Silent,2000,60973
Silent,2001,80474
Silent,2002,82733
Silent,2003,83902
Silent,2004,79568
Silent,2005,79037
Silent,2006,79416
Silent,2007,80382
Silent,2008,81242
Silent,2009,83386
Silent,2010,83577
Silent,2011,24209
Silent,2012,24578
Silent,2013,24153
Silent,2014,24865
Silent,2015,23114
Silent,2016,1857
