sex,age,year,suicides_no
female,15-24 years,1985,4690
female,15-24 years,1986,4821
female,15-24 years,1987,4046
female,15-24 years,1988,3447
female,15-24 years,1989,4004
female,15-24 years,1990,5308
female,15-24 years,1991,5034
female,15-24 years,1992,5448
female,15-24 years,1993,5181
female,15-24 years,1994,5372
female,15-24 years,1995,5976
female,15-24 years,1996,6243
female,15-24 years,1997,6369
female,15-24 years,1998,6666
female,15-24 years,1999,6518
female,15-24 years,2000,6434
female,15-24 years,2001,6100
female,15-24 years,2002,6227
female,15-24 years,2003,6531
female,15-24 years,2004,5853
female,15-24 years,2005,5869
female,15-24 years,2006,5933
female,15-24 years,2007,5876
female,15-24 years,2008,6163
female,15-24 years,2009,6371
female,15-24 years,2010,6164
female,15-24 years,2011,6468
female,15-24 years,2012,5940
female,15-24 years,2013,5666
female,15-24 years,2014,5452
female,15-24 years,2015,5029
female,15-24 years,2016,238
female,25-34 years,1985,4894
female,25-34 years,1986,5058
female,25-34 years,1987,4923
female,25-34 years,1988,4468
female,25-34 years,1989,5422
female,25-34 years,1990,6772
female,25-34 years,1991,6486
female,25-34 years,1992,6830
female,25-34 years,1993,6812
female,25-34 years,1994,6846
female,25-34 years,1995,7117
female,25-34 years,1996,7432
female,25-34 years,1997,7455
female,25-34 years,1998,7439
female,25-34 years,1999,7444
female,25-34 years,2000,7269
female,25-34 years,2001,6738
female,25-34 years,2002,7254
female,25-34 years,2003,7287
female,25-34 years,2004,6833
female,25-34 years,2005,6936
female,25-34 years,2006,6763
female,25-34 years,2007,7254
female,25-34 years,2008,7387
female,25-34 years,2009,7596
female,25-34 years,2010,7363
female,25-34 years,2011,7437
female,25-34 years,2012,7080
female,25-34 years,2013,6719
female,25-34 years,2014,6871
female,25-34 years,2015,6265
female,25-34 years,2016,373
female,35-54 years,1985,9476
female,35-54 years,1986,10047
female,35-54 years,1987,10551
female,35-54 years,1988,10014
female,35-54 years,1989,12246
female,35-54 years,1990,14622
female,35-54 years,1991,14824
female,35-54 years,1992,15840
female,35-54 years,1993,15947
female,35-54 years,1994,16238
female,35-54 years,1995,17304
female,35-54 years,1996,17327
female,35-54 years,1997,17223
female,35-54 years,1998,17446
female,35-54 years,1999,18147
female,35-54 years,2000,18203
female,35-54 years,2001,17863
female,35-54 years,2002,18786
female,35-54 years,2003,18676
